proverbs ,meaning
Aṣiwèrè èèyàn ní ń sọ pé irú òun ò sí; irú rẹ̀ pọ̀ ó ju ẹgbàágbèje lọ. ,There is no one the likes of whom the world has never seen.
Aṣọ à-fọ̀-fún ò jẹ́ ká mọ olówó. ,A poor person who looks to his or her appearance appears rich
Aṣọ tó kuni kù ní ń jẹ́ gọgọwú. ,One makes the most of what one has.
A-ṣúra-mú ò tẹ́ bọ̀rọ̀. ,People take one as one presents oneself.  
À-tẹ́ -ẹ̀-ká ni iyì ọlọ́lá; sálúbàtà ni iyì ọlọ̀tọ̀; bá a bá gbéra lágbèéjù ọba ni wọ́n ń fini íṣe. ,People take one as one presents oneself.
À-wín-ná-wó ò yẹni; à-gbà-bọ̀-ọ ṣòkòtò ò yẹ ọmọ èèyàn; bí kò fúnni lẹ́sẹ̀ a dòrògí; ohun ẹni ní ń yẹni. ,One should not live beyond one’s means.
Àwòrò tí a ò bá lù kì í luni. ,A person who wants to be respected must respect others
"A-wọ̀lú-má-tẹ̀ẹ́ , ìwọ̀n ara-a rẹ̀ ló mọ̀. ",Self-knowledge guarantees one’s reputation.
Àwúrèbeé ní òun lè yẹ̀nà; ta ní jẹ́ tọ ọ̀nà àwúrèbe? ,One should not offer one’s services where one’s abilities are inadequate.
Ayọ̀ àyọ̀jù làkèré fi ń ṣẹ́ nítan.,Immoderate happiness breeds unhappiness.
Àyọ̀-yó ni bàtá à-jó-fẹ-ehín. ,Happiness should know moderation.
Babaaláwo kì í bèrè ẹbọ àná. ,One should not demean oneself by demanding piddling favors.
"Bẹbẹlúbẹ ò ì tíì débẹ̀, ibẹ̀ ló ń bọ̀. ",There is no keeping a nosy person out of others’ affairs.
Bí a bá dàgbà à yé ogun-ún jà. ,An elder should leave off things that are a mark of youth.
"Bí a bá fi inú wénú, iwọ là ń jẹ. ",Comparing fortunes with others is likely to leave a bitter taste in one’s mouth.
"Bí a bá ń bá ọmọdé jẹun lóko, gànmù-ganmu imú ẹni ní ń wò. ",Too much familiarity with youth breeds contempt. 
"Bí a bá ń gúnyán, kòmẹsẹ̀ á yọ.",The well-bred visitor should make an exit when the hosts turn to intimate affairs.
Bí a bá ti lè ṣe là ń wí; a kì í yan àna ẹni lódì. ,One should not let an inability to fulfill a formal obligation prevent one from fulfilling essential obligations.
Bí a bá ti mọ là ń dé; a láì lẹ́ṣin kì í dé wọ̀nwọ̀n.,One should act according to one’s worth. 
Bí a bá ti mọ là ń kú; olongo kì í kú tìyàntìyàn.,One acts according to one’s worth. 
"Bí a bá tọ̀ sílé, onípò a mọ ipò. ","In the event of a crime, the guilty should not attempt to shift the blame to other."
"Bí a bá wí pé ó dọwọ́-ọ babaláwo, babaláwo a ló dọwọ́ Ifá; bí a bá ní ó dọwọ́ àgbà ìṣègùn, àgbà ìṣègùn a ló dọwọ́ Ọ̀sanyìn; bí a bá ní ó dọwọ́ ààfáà tó gbójú, a ní ó dọwọ́ Ọlọ́run ọ̀gá ògo. ","All achievements are creditable to the powers that make them possible, not to the agents."
"Bí a kò bá dáṣọ lé aṣọ, a kì í pe ọ̀kan lákìísà. ",One may not disdain an old tool until one is able to replace it.
"Bí a kò bá lè dá Tápà, Tápà kì í dáni. ","If one fails, one should at least avoid disgrace."
"Bí a kò bá lọ sóko irọ́, a kì í pa á mọ́ni. ","If one does not lay oneself open to lies, one is not lied about."
"Bí a kò bá ṣèké, a kì í fi ẹ̀tẹ́ kú. ",One’s honesty is one’s vindication. 
"Bí a kò bá tí ì jókòó, a kì í nasẹ̀. ","Until one has thoroughly secured one’s position, relaxation is premature."
Bí a kò bá tí ì lè kọ́lé àgọ́ là ń pa. ,One should neither overreach oneself nor refrain from striving.
"Bí a kò bá tó baba ọmọọ́ ṣe, a kì í pe alákàrà. ","If one has no means of offering hospitality, one should not invite visitors."
"Bí a kò bá tó ìyà-á ká tí à ń kọ̀ ọ́, àjẹkún ìyà là ń jẹ. ",Whoever cannot defend himself or herself must learn forbearance.
Bí a ó ti tó kì í jẹ́ ká hùwà búburú; bí a ó ti mọ kì í jẹ́ ká hùwà rere. ,A person’s achievements are enhanced or limited by the person’s character.
"Bí àgbà kò bá ṣe ohun ẹ̀rù, ọmọdé kì í sá. ",Youth responds to age according to how age acts.
"Bí ajá rójú ẹkùn, a pa rọ́rọ́. ","In the presence of one’s betters, one keeps one’s place."
"Bí àjànàkú ò bá rí ohun gbémì, kì í ṣe inú gbẹndu sọ́dẹ. ","Unless a person has some resource to rely on, he or she does not tempt fate."
"Bí ayá bá mojú ọkọ, alárìnnà a yẹsẹ̀. ","Once one’s task is done, one removes oneself."
"Bí ayé bá ń yẹni, ìwà ìbàj là ń hù. ",Prosperity breeds temptations to misbehave.
"Bí baálẹ̀-ẹ́ bá ń tàkìtì, òrógi là ń bá ẹmẹsẹ̀. ","The great may indulge themselves, but the lowly must keep their heads."
"Bí eegbọ́n bá so mọ́ ajá lẹ́nu, akátá là ń ní kó já a? ",A person of great substance is not asked to minister to a person of no substance. 
"Bí eegbọ́n bá so ayínrín nímú, adìẹ kọ́ ni yó ja. ",The prey is not sent to minister to a predator. 
"Bí èèyán bá ní kò sí irú òun, àwọn ọlọgbọ́n a máa wòye.",A person who thinks he or she is peerless fools no one but himself or herself.
"Bí ẹkùn ò bá fẹ̀, èse là ń pè é. ",A person who acts beneath his station loses some respect.
"Bí ẹlẹ́bọ ò bá pe ẹni, àṣefín ò yẹni.",It is bad form to intrude into other people’s affairs.
"Bí ìlàrí bá fẹ́ẹ̀ tẹ́, a ní kí lọba ó ṣe? ","If one does not show respect for one’s patron, one courts disgrace."
"Bí iná bá dun ọbẹ̀, a dá ọ̀rọ̀ sọ. ","If the excitement is strong enough, coyness disappears."
"Bí kò sí àkópọ̀, kí lewúrẹ́ wá dé ìsọ̀ adìẹ? ",Necessity brings together people who would otherwise have nothing to do one with another
"Bí kò sí tọ̀bùn èèyàn, ta ni ìbá jí lówùúrọ̀ tí kò bọ́jú ṣáṣá? ",Antisocial people betray themselves by their habits.
"Bí mo bá torí oko kú n ó rò fáhéré; bí mo bá torí ọ̀gẹ̀dẹ̀ kú n ó rò fódò; bí mo bá torí alábàjà òkìkí kú, ng ó rò fórí-ì mi. ","Were I to die for a woman, the forces ordering my fortune would know why."
"Bí ó di ọdún m ta tí ẹkùn-ún ti ń ṣe òjòjò, olugbe la ó ha rán lọ bẹ̀ wò? I","Even though one may be down on one’s luck, there are yet certain propositions one would consider insulting."
Bí òfé ti ń fò la ti ń mọ̀ ọ́ lákọ ẹyẹ.,One shows one’s quality through one’s accomplishments.
"Bí ojú bá rí, ẹnu a dákẹ́ . ",The mouth does not reveal everything the eyes see.
"Bí ojú kò bá rí, ẹnu kì í sọ nǹkan. ",The mouth can tell only what the eye sees.
"Bí ojú kò bá ti olè, a ti ará ilé ẹ̀. ",A person’s disgrace must concern his relatives.
"Bí ojú onílé bá mọ tíntín, tí ojú àlejòó tó gbòǹgbò, onílé ní ń ṣe ọkọ àlejò. ",The host is lord over the guest.
"Bí òkú fẹ̀, bí kò fẹ̀, ká bi ọmọ olókùú léèrè. ",Only those most intimately concerned know the close truths of an affair and should be asked about them.
"Bí olóde ò kú, òdee rẹ̀ kì í hu gbẹ́gi. ","If one does not die, one is able to look after one’s affairs."
Bí olóúnjẹ bá rojú à fi àìjẹ tẹ́ ẹ. ,The best way to treat a miser is to refuse anything from him.
"Bí ọdún bá dún, bọnnọnbọ́nnọ́n a pàwọ́ dà. ","When the seasons change, one changes one’s habits."
"Bí ọjàá bá tú tán, a ku olórí-i pàtẹpàtẹ, a ku àgbààgbà sà-ǹkò sà-ǹkò lọ́jà; bÍfá bá pẹ̀dí tán, ìwọ̀-ǹwọ̀ a dìde. ","When a matter is done, those involved should disperse."
"Bí ọjọ́ ewúrẹ́ bá pé, a ní kò sí ohun tí alápatàá lè fi òun ṣe. ",A person who does not recognize and heed danger courts death.
"Bí ọ̀lẹ́ ò lè jà, a lè kú tùẹ̀. ",A person who cannot defend his rights should yield to death.
"Bí Ọlọ́run ò ṣe ẹni ní baba,àfiìyànjú ṣe bí àgbà.","Even if one has no influence, one strives to act responsibly."
"Bí ọmọdé bá fẹ́ ṣìṣe àgbà, ọjọ́ orí rẹ̀ ò níí jẹ́ .",A youth does not have what it takes to be an elder.
"Bí ọmọdé bá gun òkè àgbà, ó ń láti gbọ́n. ",Wisdom goes with age.
"Bí ọmọdé bá ń ṣe ọmọdé, àgbà a máa ṣe àgbà. ",One should not permit other people’s misbehavior to deflect one from the proper course.
"Bí ọmọdé ń lérí bébé, tí kò ní baba, ti baba là ń ṣe. ",One should not deal too harshly with a child who has no one to direct him or her.
"Bí Ọya ń kọ lọ́run, bí Ṣàngó ń jó láyé, kò níí burú fún baba kó ní ó dọwọ́ ọmọ òun lọ́run. ","Even in suffering, one should never disgrace oneself."
Dídák lerín dákẹ́ ; àjànàkú ló lọ̀dàn. ,The mighty need not proclaim their importance. 
Dìgbòlugi-dìgbòlùùyàn ò jẹ́ ká mọ ajá tòótọ́. ,He who acts like a dog makes himself the equal of a dog.
Eegun àjànàkú: ó há ìkokò lẹ́nu. ,A person has overreached himself or herself and is paying the price of folly.
Eégún ju eégún; òrìṣá ju òrìṣà; Pààká lé oníṣàngó wọ̀gb . ,Every company has its hierarchy; each person should know his or her place.
"Eégún ò na obìnrin lágọ̀; obìnrín tú kíjìpá ìdí-i rẹ̀, ó fi na eégún. ","A person is fortunate to have been overlooked by trouble, but he or she goes to deliberately provoke it."
"Eégún p lóde, ó fètè òkè dáhùn; wọ́n ní, ‘‘Baba kú àbọ̀,’’ ó ní, ‘‘Hì ì ì.’’ ",A person who has disgraced himself speaks softly.
"Eégún wọlé, ó ní òun ò rí Ejonto; Ejontó ní, ‘‘Àkísà ni, àbí kíní wọlé?’’ ",A person who disregards one earns one’s disregard.
"Eegbọ́n so mọ́ àyìnrín lẹ́nu, a ní kí adìẹ wá yán an jẹ; adìẹ mọ̀ pé òun náà oúnjẹ àyìnrín. ",One wastes one’s time inviting others to endanger themselves. 
Èèyàn bí ọ̀bọ lọ̀bọ ń ya láṣọ. ,Those who consort with undesirables are likely to have their reputation soiled.
"Èèyàn ò ríbi sùn, ajá ń hanrun. ",A lowly person lays claim to what his or her betters lack.
"Èèyàn tí ò nítìjú ojú kan ni ìbá ní, a gbórín a tó tẹṣin. ",Human endowments are wasted on graceless people.
Ejò kì í ti ojú Ààrẹ gun ọgbà lọ. ,One does not permit disaster on one’s watch; one must live up to the expectations of one’s position
"Èmí dákọ okòó, ìwọ́ dákọ okòó, ò ń pèmí ní mùkọ-mùkọ.",One should not criticize others for flaws that are also one’s lot. 
"Èmi ìwọ̀fà, ìwọ ìwọ̀fà, o ní babá ní ká gbowó wá; o dá tìrẹ sílẹ̀ ná? ",Whoever will correct others should first take care of his or her own failings.
Epo ni mo rù; oníyangí má ba tèmi jẹ́ .,I am cautiously going about my own business; let no one bring trouble my way.
Erin kì í fọn kọ́mọ-ọ rẹ̀ ó fọn. ,Lowly people should not emulate illustrious ones.
Èrò ọ̀nà ni yó ròhìn ọkà tó gbó. ,A noteworthy accomplishment need not advertise itself.
Èsúrú ṣe fújà ó t lọ́wọ́ oníyán; aláǹgbá ṣe fújà ó tẹ́ lọ́wọ́ ògiri; Ọlámọnrín àjàpá ṣe fújà ó tẹ́ lọ́wọ́-ọ mi. ,A person who does not know his or her place soon suffers disgrace.
Etí lobìnrín fi ń gbọ́ ohùn orò.,One must not intrude into affairs that do not concern one; undesirable people should be kept in the dark about important or delicate matters.
Èwo ló tó ẹ̀kọ-ọ gbà nínú ewé ìrúgbàá? ,Certain feats are beyond certain people; people should not presume to do things beyond their capabilities.
Èwo ni ti Síkírá nílùú Ìwó. ,One should not intrude into matters that do not concern one.
Ewújù tí yóò tú ọ̀pẹ: gbogbo ehín ẹ̀ ni yóò kán tán. ,One should not attempt a task for which one is not qualified.
Ewúrẹ́ kì í bíni ká lọ sísọ̀ àgùntàn lọ jẹ̀.,One should keep to one’s proper company.
Ewúrẹ́ ò wí pé òun ò ṣọmọ àgùntàn; àgùntàn ló wí pé òun ò ṣọmọ ewúrẹ́ . ,"The goat would like to associate with the sheep, but the sheep would not associate with the goat; ‘‘superior’’ people reject association with ‘‘inferior’’ people, not the other way around."
"""Ẹ fà á wọlé"" ló yẹ ẹlẹ́ṣin. ",To be able to afford a horse but not a groom is something of a disgrace
"Ẹ j ká mí, ẹ j ká simi; èèyàn ní ń fìdí èèyàn jókòó; èèyàn ìbá ṣe bí Ọlọ́run kò níí jẹ́ ká mí.",People are wont to be too full of their authority; it is a good thing they have less power over others than God does
"‘‘Ẹ kú-ulé’’ ò yẹ ará ilé; ‘‘Ẹ kú atìbà’’ ò yẹni tí ń tàjò bọ̀; ẹni tí ò kí ẹni, ‘‘Kú atìbà’’-á pàdánù ‘‘Ẹ kú-ulé.’’ ",Whoever does not extend courtesies cannot expect to receive courtesies. 
Ẹ̀bìtì ẹnu ò tàsé. ,The mouth easily accomplishes even impossible feats.
Ẹgbẹ́ ẹni là ń gúnyán ewùrà dè. ,One may take liberties only with one’s peers.
Ẹ̀gbẹ̀rì ò mọ̀ pé arẹwà kì í gbé ẹ̀kú; gbogbo ehín kin-kìn-kin láb aṣọ. ,It is a foolish person who conceals his or her endowments.
"Ẹ̀gbọ́n ṣíwájú ó so aṣọ kọ́; àbúrò-ó kẹ́hìn ó wẹ̀wù; bí a ò mọ̀lẹ, ọ̀lẹ ò mọ ara-a rẹ̀? ",The shiftless person cannot hide his shiftlessness either from himself or from others.
Ẹlẹ́dẹ̀ ń pàfọ̀ ó rò pé òun ń ṣoge. ,People who lack good judgment are never aware of their own misbehavior.
Ẹlẹ́dẹ̀ ò mẹ̀yẹ. ,Some people do not know fitting behavior.
"Ẹlẹ́ẹ̀ẹ́dẹ́ ń lọ ẹ̀ẹ́dẹ́ , o ní ‘‘Ẹ̀ẹ́dẹ́gbẹ̀ta ni àbí ẹ̀ẹ́dẹ́gbẹ̀fà̀?’’; èwo lo gbé níbẹ̀? ",A person who is too inquisitive about other people’s affairs raises suspicions about his or her motives.
Ẹlẹ́ẹ́fà kì í lọ ẹẹ́fà-a rẹ̀ ká sọ pé o di ìjẹfà tí a ti jẹun. ,"If one can offer no help to a person in trouble, one should not complicate the person’s plight."
"Ẹni à bá fi sóko kó dàparò, ó ní òun ẹni ilé. ",An unwanted person believes himself to be indispensable.
Ẹni à bá tà ká fowó-o rẹ̀ ra àdá: ó ní ìyà àdá ń jẹ òun. ,A person who is only most grudgingly tolerated in a company complains about his lack of privileges. 
Ẹni à bá tà ká fowó-o rẹ̀ ra àtùpà: ó ní òun à-jí-tanná-wò-lóru. ,A person most unwanted in a company regards himself or herself as the soul of the party. 
Ẹni à bá tà ká fowó-o rẹ̀ ra èbù: ó ní èlé òun kó ọ̀ọ́dúnrún. ,A person considered worthless and expendable makes claims to equal rights. 
Ẹni à ń gbé gẹ̀gẹ̀ ni yó ba ara-a rẹ̀ jẹ́ . ,People who are placed on pedestals have ample opportunities to topple themselves.
Ẹní bá dẹ ojú-u rẹ̀ sílẹ̀ á rímú-u rẹ̀. ,Whoever comports himself or herself indecorously will be disgraced.
